metric_filterable,metric_repeated,metric_selectable,metric_sortable,metric_selectable_with,metric_field_description,metric_category,metric_data_type,metric_name,metric_type_url
True,False,True,True,None,The percent of your ad impressions that are shown as the very first ad above the organic search results.,METRIC,DOUBLE,metrics.absolute_top_impression_percentage,N/A
True,False,True,True,None,Average cost of viewable impressions (active_view_impressions).,METRIC,DOUBLE,metrics.active_view_cpm,N/A
True,False,True,True,None,Active view measurable clicks divided by active view viewable impressions. This metric is reported only for the Display Network.,METRIC,DOUBLE,metrics.active_view_ctr,N/A
True,False,True,True,None,A measurement of how often your ad has become viewable on a Display Network site.,METRIC,INT64,metrics.active_view_impressions,N/A
True,False,True,True,None,The ratio of impressions that could be measured by Active View over the number of served impressions.,METRIC,DOUBLE,metrics.active_view_measurability,N/A
True,False,True,True,None,The cost of the impressions you received that were measurable by Active View.,METRIC,INT64,metrics.active_view_measurable_cost_micros,N/A
True,False,True,True,None,The number of times your ads are appearing on placements in positions where they can be seen.,METRIC,INT64,metrics.active_view_measurable_impressions,N/A
True,False,True,True,None,The percentage of time when your ad appeared on an Active View enabled site (measurable impressions) and was viewable (viewable impressions).,METRIC,DOUBLE,metrics.active_view_viewability,N/A
True,False,True,True,None,The total number of conversions. This includes all conversions regardless of the value of include_in_conversions_metric.,METRIC,DOUBLE,metrics.all_conversions,N/A
True,False,True,True,None,"The total number of conversions. This includes all conversions regardless of the value of include_in_conversions_metric. When this column is selected with date, the values in date column means the conversion date. Details for the by_conversion_date columns are available at https://support.google.com/google-ads/answer/9549009.",METRIC,DOUBLE,metrics.all_conversions_by_conversion_date,N/A
True,False,True,True,None,"The number of times people clicked the ""Call"" button to call a store during or after clicking an ad. This number doesn't include whether or not calls were connected, or the duration of any calls. This metric applies to feed items only.",METRIC,DOUBLE,metrics.all_conversions_from_click_to_call,N/A
True,False,True,True,None,"The number of times people clicked a ""Get directions"" button to navigate to a store after clicking an ad. This metric applies to feed items only.",METRIC,DOUBLE,metrics.all_conversions_from_directions,N/A
True,False,True,True,None,All conversions from interactions (as oppose to view through conversions) divided by the number of ad interactions.,METRIC,DOUBLE,metrics.all_conversions_from_interactions_rate,N/A
True,False,True,True,None,The value of all conversions from interactions divided by the total number of interactions.,METRIC,DOUBLE,metrics.all_conversions_from_interactions_value_per_interaction,N/A
True,False,True,True,None,Number of call button clicks on any location surface after a chargeable ad event (click or impression). This measure is coming from Asset based location.,METRIC,DOUBLE,metrics.all_conversions_from_location_asset_click_to_call,N/A
True,False,True,True,None,Number of driving directions clicks on any location surface after a chargeable ad event (click or impression). This measure is coming from Asset based location.,METRIC,DOUBLE,metrics.all_conversions_from_location_asset_directions,N/A
True,False,True,True,None,Number of menu link clicks on any location surface after a chargeable ad event (click or impression). This measure is coming from Asset based location.,METRIC,DOUBLE,metrics.all_conversions_from_location_asset_menu,N/A
True,False,True,True,None,Number of order clicks on any location surface after a chargeable ad event (click or impression). This measure is coming from Asset based location.,METRIC,DOUBLE,metrics.all_conversions_from_location_asset_order,N/A
True,False,True,True,None,Number of other types of local action clicks on any location surface after a chargeable ad event (click or impression). This measure is coming from Asset based location.,METRIC,DOUBLE,metrics.all_conversions_from_location_asset_other_engagement,N/A
True,False,True,True,None,Estimated number of visits to the store after a chargeable ad event (click or impression). This measure is coming from Asset based location.,METRIC,DOUBLE,metrics.all_conversions_from_location_asset_store_visits,N/A
True,False,True,True,None,Number of website URL clicks on any location surface after a chargeable ad event (click or impression). This measure is coming from Asset based location.,METRIC,DOUBLE,metrics.all_conversions_from_location_asset_website,N/A
True,False,True,True,None,The number of times people clicked a link to view a store's menu after clicking an ad. This metric applies to feed items only.,METRIC,DOUBLE,metrics.all_conversions_from_menu,N/A
True,False,True,True,None,The number of times people placed an order at a store after clicking an ad. This metric applies to feed items only.,METRIC,DOUBLE,metrics.all_conversions_from_order,N/A
True,False,True,True,None,"The number of other conversions (for example, posting a review or saving a location for a store) that occurred after people clicked an ad. This metric applies to feed items only.",METRIC,DOUBLE,metrics.all_conversions_from_other_engagement,N/A
True,False,True,True,None,Estimated number of times people visited a store after clicking an ad. This metric applies to feed items only.,METRIC,DOUBLE,metrics.all_conversions_from_store_visit,N/A
True,False,True,True,None,The number of times that people were taken to a store's URL after clicking an ad. This metric applies to feed items only.,METRIC,DOUBLE,metrics.all_conversions_from_store_website,N/A
True,False,True,True,None,The value of all conversions.,METRIC,DOUBLE,metrics.all_conversions_value,N/A
True,False,True,True,None,"The value of all conversions. When this column is selected with date, the values in date column means the conversion date. Details for the by_conversion_date columns are available at https://support.google.com/google-ads/answer/9549009.",METRIC,DOUBLE,metrics.all_conversions_value_by_conversion_date,N/A
True,False,True,True,None,The value of all conversions divided by the total cost of ad interactions (such as clicks for text ads or views for video ads).,METRIC,DOUBLE,metrics.all_conversions_value_per_cost,N/A
True,False,True,True,None,"All of new customers' lifetime conversion value. If you have set up customer acquisition goal at either account level or campaign level, this will include the additional conversion value from new customers for both biddable and non-biddable conversions. If your campaign has adopted the customer acquisition goal and selected ""bid higher for new customers"", these values will be included in ""all_conversions_value"". See https://support.google.com/google-ads/answer/12080169 for more details.",METRIC,DOUBLE,metrics.all_new_customer_lifetime_value,N/A
True,False,True,True,None,"This metric is part of the Auction Insights report, and tells how often the ads of another participant showed as the very first ad above the organic search results. This percentage is computed only over the auctions that you appeared in the page. This metric is not publicly available.",METRIC,DOUBLE,metrics.auction_insight_search_absolute_top_impression_percentage,N/A
True,False,True,True,None,"This metric is part of the Auction Insights report, and tells the percentage of impressions that another participant obtained, over the total number of impressions that your ads were eligible for. Any value below 0.1 is reported as 0.0999. This metric is not publicly available.",METRIC,DOUBLE,metrics.auction_insight_search_impression_share,N/A
True,False,True,True,None,"This metric is part of the Auction Insights report, and tells the percentage of impressions that your ads outranked (showed above) another participant in the auction, compared to the total number of impressions that your ads were eligible for. Any value below 0.1 is reported as 0.0999. This metric is not publicly available.",METRIC,DOUBLE,metrics.auction_insight_search_outranking_share,N/A
True,False,True,True,None,"This metric is part of the Auction Insights report, and tells how often another participant's ad received an impression when your ad also received an impression. This metric is not publicly available.",METRIC,DOUBLE,metrics.auction_insight_search_overlap_rate,N/A
True,False,True,True,None,"This metric is part of the Auction Insights report, and tells how often another participant's ad was shown in a higher position than yours, when both of your ads were shown at the same page. This metric is not publicly available.",METRIC,DOUBLE,metrics.auction_insight_search_position_above_rate,N/A
True,False,True,True,None,"This metric is part of the Auction Insights report, and tells how often the ads of another participant showed above the organic search results. This percentage is computed only over the auctions that you appeared in the page. This metric is not publicly available.",METRIC,DOUBLE,metrics.auction_insight_search_top_impression_percentage,N/A
True,False,True,True,None,"Average cart size is the average number of products in each order attributed to your ads. How it works: You report conversions with cart data for completed purchases on your website. Average cart size is the total number of products sold divided by the total number of orders you received. Example: You received 2 orders, the first included 3 products and the second included 2. The average cart size is 2.5 products = (3+2)/2. This metric is only available if you report conversions with cart data.",METRIC,DOUBLE,metrics.average_cart_size,N/A
True,False,True,True,None,The average amount you pay per interaction. This amount is the total cost of your ads divided by the total number of interactions.,METRIC,DOUBLE,metrics.average_cost,N/A
True,False,True,True,None,The total cost of all clicks divided by the total number of clicks received.,METRIC,DOUBLE,metrics.average_cpc,N/A
True,False,True,True,None,The average amount that you've been charged for an ad engagement. This amount is the total cost of all ad engagements divided by the total number of ad engagements.,METRIC,DOUBLE,metrics.average_cpe,N/A
True,False,True,True,None,Average cost-per-thousand impressions (CPM).,METRIC,DOUBLE,metrics.average_cpm,N/A
True,False,True,True,None,The average amount you pay each time someone views your ad. The average CPV is defined by the total cost of all ad views divided by the number of views.,METRIC,DOUBLE,metrics.average_cpv,N/A
True,False,True,True,None,"The average number of times a unique user saw your ad during the requested time period. This metric cannot be aggregated, and can only be requested for date ranges of 92 days or less. This metric is available for following campaign types - Display, Video, Discovery and App.",METRIC,DOUBLE,metrics.average_impression_frequency_per_user,N/A
True,False,True,True,None,"Average order value is the average revenue you made per order attributed to your ads. How it works: You report conversions with cart data for completed purchases on your website. Average order value is the total revenue from your orders divided by the total number of orders. Example: You received 3 orders which made $10, $15 and $20 worth of revenue. The average order value is $15 = ($10 + $15 + $20)/3. This metric is only available if you report conversions with cart data.",METRIC,INT64,metrics.average_order_value_micros,N/A
True,False,True,True,None,Average number of pages viewed per session.,METRIC,DOUBLE,metrics.average_page_views,N/A
True,False,True,True,None,"The average Target CPA, or unset if not available (for example, for campaigns that had traffic from portfolio bidding strategies or non-tCPA).",METRIC,INT64,metrics.average_target_cpa_micros,N/A
True,False,True,True,None,"The average Target ROAS, or unset if not available (for example, for campaigns that had traffic from portfolio bidding strategies or non-tROAS).",METRIC,DOUBLE,metrics.average_target_roas,N/A
True,False,True,True,None,Total duration of all sessions (in seconds) / number of sessions. Imported from Google Analytics.,METRIC,DOUBLE,metrics.average_time_on_site,N/A
True,False,True,True,None,An indication of how other advertisers are bidding on similar products.,METRIC,DOUBLE,metrics.benchmark_average_max_cpc,N/A
True,False,True,True,None,An indication on how other advertisers' Shopping ads for similar products are performing based on how often people who see their ad click on it.,METRIC,DOUBLE,metrics.benchmark_ctr,N/A
True,False,True,True,None,Number of app installs.,METRIC,DOUBLE,metrics.biddable_app_install_conversions,N/A
True,False,True,True,None,Number of in-app actions.,METRIC,DOUBLE,metrics.biddable_app_post_install_conversions,N/A
True,False,True,True,None,Percentage of clicks where the user only visited a single page on your site. Imported from Google Analytics.,METRIC,DOUBLE,metrics.bounce_rate,N/A
True,False,True,True,None,The number of clicks.,METRIC,INT64,metrics.clicks,N/A
True,False,True,True,None,The number of times your ad or your site's listing in the unpaid results was clicked. See the help page at https://support.google.com/google-ads/answer/3097241 for details.,METRIC,INT64,metrics.combined_clicks,N/A
True,False,True,True,None,The number of times your ad or your site's listing in the unpaid results was clicked (combined_clicks) divided by combined_queries. See the help page at https://support.google.com/google-ads/answer/3097241 for details.,METRIC,DOUBLE,metrics.combined_clicks_per_query,N/A
True,False,True,True,None,The number of searches that returned pages from your site in the unpaid results or showed one of your text ads. See the help page at https://support.google.com/google-ads/answer/3097241 for details.,METRIC,INT64,metrics.combined_queries,N/A
True,False,True,True,None,The estimated percent of times that your ad was eligible to show on the Display Network but didn't because your budget was too low. Note: Content budget lost impression share is reported in the range of 0 to 0.9. Any value above 0.9 is reported as 0.9001.,METRIC,DOUBLE,metrics.content_budget_lost_impression_share,N/A
True,False,True,True,None,The impressions you've received on the Display Network divided by the estimated number of impressions you were eligible to receive. Note: Content impression share is reported in the range of 0.1 to 1. Any value below 0.1 is reported as 0.0999.,METRIC,DOUBLE,metrics.content_impression_share,N/A
True,False,True,True,None,The estimated percentage of impressions on the Display Network that your ads didn't receive due to poor Ad Rank. Note: Content rank lost impression share is reported in the range of 0 to 0.9. Any value above 0.9 is reported as 0.9001.,METRIC,DOUBLE,metrics.content_rank_lost_impression_share,N/A
True,False,True,True,None,The date of the most recent conversion for this conversion action. The date is in the customer's time zone.,METRIC,DATE,metrics.conversion_last_conversion_date,N/A
True,False,True,True,None,"The last date/time a conversion tag for this conversion action successfully fired and was seen by Google Ads. This firing event may not have been the result of an attributable conversion (for example, because the tag was fired from a browser that did not previously click an ad from an appropriate advertiser). The date/time is in the customer's time zone.",METRIC,DATE,metrics.conversion_last_received_request_date_time,N/A
True,False,True,True,None,"The number of conversions. This only includes conversion actions which include_in_conversions_metric attribute is set to true. If you use conversion-based bidding, your bid strategies will optimize for these conversions.",METRIC,DOUBLE,metrics.conversions,N/A
True,False,True,True,None,"The number of conversions. This only includes conversion actions which include_in_conversions_metric attribute is set to true. If you use conversion-based bidding, your bid strategies will optimize for these conversions. When this column is selected with date, the values in date column means the conversion date. Details for the by_conversion_date columns are available at https://support.google.com/google-ads/answer/9549009.",METRIC,DOUBLE,metrics.conversions_by_conversion_date,N/A
True,False,True,True,None,"Conversions from interactions divided by the number of ad interactions (such as clicks for text ads or views for video ads). This only includes conversion actions which include_in_conversions_metric attribute is set to true. If you use conversion-based bidding, your bid strategies will optimize for these conversions.",METRIC,DOUBLE,metrics.conversions_from_interactions_rate,N/A
True,False,True,True,None,"The value of conversions from interactions divided by the number of ad interactions. This only includes conversion actions which include_in_conversions_metric attribute is set to true. If you use conversion-based bidding, your bid strategies will optimize for these conversions.",METRIC,DOUBLE,metrics.conversions_from_interactions_value_per_interaction,N/A
True,False,True,True,None,"The value of conversions. This only includes conversion actions which include_in_conversions_metric attribute is set to true. If you use conversion-based bidding, your bid strategies will optimize for these conversions.",METRIC,DOUBLE,metrics.conversions_value,N/A
